Job Number,DateADDED,Date Logged,AgeOfJobInWorkingDays,Date Completed,WorkingDaysToComplete,Job Description,Job Status Description,Status change start or finish,Working Days between statuses
8241424,03/01/2023,02/01/2023,0,03/02/2023,23,*Disabled Adaptation Works - Structural*,Awaiting Scheduling,Start,
8241424,04/01/2023,02/01/2023,1,03/02/2023,23,*Disabled Adaptation Works - Structural*,Awaiting Scheduling,,
8241424,05/01/2023,02/01/2023,2,03/02/2023,23,*Disabled Adaptation Works - Structural*,Awaiting Scheduling,,
8241424,06/01/2023,02/01/2023,3,03/02/2023,23,*Disabled Adaptation Works - Structural*,Awaiting Scheduling,,
8241424,07/01/2023,02/01/2023,3,03/02/2023,23,*Disabled Adaptation Works - Structural*,Awaiting Scheduling,,
8241424,08/01/2023,02/01/2023,3,03/02/2023,23,*Disabled Adaptation Works - Structural*,Awaiting Scheduling,,
8241424,09/01/2023,02/01/2023,4,03/02/2023,23,*Disabled Adaptation Works - Structural*,Awaiting Scheduling,Finish,4
8241424,10/01/2023,02/01/2023,5,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,Start,
8241424,11/01/2023,02/01/2023,6,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,12/01/2023,02/01/2023,7,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,13/01/2023,02/01/2023,8,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,14/01/2023,02/01/2023,8,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,15/01/2023,02/01/2023,8,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,16/01/2023,02/01/2023,9,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,17/01/2023,02/01/2023,10,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,18/01/2023,02/01/2023,11,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,19/01/2023,02/01/2023,12,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,20/01/2023,02/01/2023,13,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,21/01/2023,02/01/2023,13,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,22/01/2023,02/01/2023,13,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,23/01/2023,02/01/2023,14,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,24/01/2023,02/01/2023,15,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,25/01/2023,02/01/2023,16,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,26/01/2023,02/01/2023,17,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,27/01/2023,02/01/2023,18,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,28/01/2023,02/01/2023,18,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,29/01/2023,02/01/2023,18,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,30/01/2023,02/01/2023,19,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,31/01/2023,02/01/2023,20,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,01/02/2023,02/01/2023,21,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,02/02/2023,02/01/2023,22,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241424,03/02/2023,02/01/2023,23,03/02/2023,23,*Disabled Adaptation Works - Structural*,Job Scheduled,Finish,17
8241432,03/01/2023,02/01/2023,0,23/01/2023,14,*Disabled Adaptation Works - Structural*,Awaiting Scheduling,Start,
8241432,04/01/2023,02/01/2023,1,23/01/2023,14,*Disabled Adaptation Works - Structural*,Awaiting Scheduling,Finish,1
8241432,05/01/2023,02/01/2023,2,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,Start,
8241432,06/01/2023,02/01/2023,3,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,07/01/2023,02/01/2023,3,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,08/01/2023,02/01/2023,3,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,09/01/2023,02/01/2023,4,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,10/01/2023,02/01/2023,5,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,11/01/2023,02/01/2023,6,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,12/01/2023,02/01/2023,7,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,13/01/2023,02/01/2023,8,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,14/01/2023,02/01/2023,8,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,15/01/2023,02/01/2023,8,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,16/01/2023,02/01/2023,9,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,17/01/2023,02/01/2023,10,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,18/01/2023,02/01/2023,11,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,19/01/2023,02/01/2023,12,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,20/01/2023,02/01/2023,13,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,21/01/2023,02/01/2023,13,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,22/01/2023,02/01/2023,13,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,,
8241432,23/01/2023,02/01/2023,14,23/01/2023,14,*Disabled Adaptation Works - Structural*,Job Scheduled,Finish,12
8241466,31/01/2023,02/01/2023,20,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,Start,
8241466,01/02/2023,02/01/2023,21,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,02/02/2023,02/01/2023,22,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,03/02/2023,02/01/2023,23,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,04/02/2023,02/01/2023,23,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,05/02/2023,02/01/2023,23,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,06/02/2023,02/01/2023,24,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,07/02/2023,02/01/2023,25,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,08/02/2023,02/01/2023,26,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,09/02/2023,02/01/2023,27,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,10/02/2023,02/01/2023,28,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,11/02/2023,02/01/2023,28,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,12/02/2023,02/01/2023,28,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,13/02/2023,02/01/2023,29,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,14/02/2023,02/01/2023,30,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,15/02/2023,02/01/2023,31,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,16/02/2023,02/01/2023,32,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,17/02/2023,02/01/2023,33,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,18/02/2023,02/01/2023,33,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,19/02/2023,02/01/2023,33,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,20/02/2023,02/01/2023,34,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,21/02/2023,02/01/2023,35,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,22/02/2023,02/01/2023,36,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,23/02/2023,02/01/2023,37,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,24/02/2023,02/01/2023,38,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,25/02/2023,02/01/2023,38,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,26/02/2023,02/01/2023,38,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,27/02/2023,02/01/2023,39,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,28/02/2023,02/01/2023,40,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,01/03/2023,02/01/2023,41,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,02/03/2023,02/01/2023,42,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,03/03/2023,02/01/2023,43,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,04/03/2023,02/01/2023,43,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,05/03/2023,02/01/2023,43,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,06/03/2023,02/01/2023,44,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,07/03/2023,02/01/2023,45,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,08/03/2023,02/01/2023,46,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,09/03/2023,02/01/2023,47,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,10/03/2023,02/01/2023,48,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,11/03/2023,02/01/2023,48,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,12/03/2023,02/01/2023,48,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,13/03/2023,02/01/2023,49,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,14/03/2023,02/01/2023,50,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,15/03/2023,02/01/2023,51,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,16/03/2023,02/01/2023,52,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,17/03/2023,02/01/2023,53,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,18/03/2023,02/01/2023,53,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,19/03/2023,02/01/2023,53,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,20/03/2023,02/01/2023,54,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,21/03/2023,02/01/2023,55,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,22/03/2023,02/01/2023,56,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,23/03/2023,02/01/2023,57,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,24/03/2023,02/01/2023,58,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,25/03/2023,02/01/2023,58,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,26/03/2023,02/01/2023,58,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,27/03/2023,02/01/2023,59,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,28/03/2023,02/01/2023,60,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,29/03/2023,02/01/2023,61,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,30/03/2023,02/01/2023,62,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,31/03/2023,02/01/2023,63,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,01/04/2023,02/01/2023,63,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,02/04/2023,02/01/2023,63,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,03/04/2023,02/01/2023,64,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,04/04/2023,02/01/2023,65,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,05/04/2023,02/01/2023,66,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,06/04/2023,02/01/2023,67,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,07/04/2023,02/01/2023,67,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,08/04/2023,02/01/2023,67,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,09/04/2023,02/01/2023,67,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,10/04/2023,02/01/2023,67,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,11/04/2023,02/01/2023,68,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,12/04/2023,02/01/2023,69,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,13/04/2023,02/01/2023,70,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,14/04/2023,02/01/2023,71,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,15/04/2023,02/01/2023,71,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,16/04/2023,02/01/2023,71,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,17/04/2023,02/01/2023,72,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,18/04/2023,02/01/2023,73,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,19/04/2023,02/01/2023,74,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,20/04/2023,02/01/2023,75,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,21/04/2023,02/01/2023,76,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,22/04/2023,02/01/2023,76,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,23/04/2023,02/01/2023,76,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,,
8241466,24/04/2023,02/01/2023,77,15/06/2023,112,*Disabled Adaptation Works - SmallWorks*,Awaiting Scheduling,Finish,57
8241903,04/01/2023,03/01/2023,1,25/05/2023,98,Routine Scope - Internal Works,Job Scheduled,Start,
8241903,05/01/2023,03/01/2023,2,25/05/2023,98,Routine Scope - Internal Works,Job Scheduled,,
8241903,06/01/2023,03/01/2023,3,25/05/2023,98,Routine Scope - Internal Works,Job Scheduled,,
8241903,07/01/2023,03/01/2023,3,25/05/2023,98,Routine Scope - Internal Works,Job Scheduled,,
8241903,08/01/2023,03/01/2023,3,25/05/2023,98,Routine Scope - Internal Works,Job Scheduled,,
8241903,09/01/2023,03/01/2023,4,25/05/2023,98,Routine Scope - Internal Works,Job Scheduled,,
8241903,10/01/2023,03/01/2023,5,25/05/2023,98,Routine Scope - Internal Works,Job Scheduled,,
8241903,11/01/2023,03/01/2023,6,25/05/2023,98,Routine Scope - Internal Works,Job Scheduled,,
8241903,12/01/2023,03/01/2023,7,25/05/2023,98,Routine Scope - Internal Works,Job Scheduled,,
8241903,13/01/2023,03/01/2023,8,25/05/2023,98,Routine Scope - Internal Works,Job Scheduled,,
8241903,14/01/2023,03/01/2023,8,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,15/01/2023,03/01/2023,8,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,16/01/2023,03/01/2023,9,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,17/01/2023,03/01/2023,10,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,18/01/2023,03/01/2023,11,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,19/01/2023,03/01/2023,12,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,20/01/2023,03/01/2023,13,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,21/01/2023,03/01/2023,13,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,22/01/2023,03/01/2023,13,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,23/01/2023,03/01/2023,14,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,24/01/2023,03/01/2023,15,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,25/01/2023,03/01/2023,16,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,26/01/2023,03/01/2023,17,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,27/01/2023,03/01/2023,18,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,28/01/2023,03/01/2023,18,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,29/01/2023,03/01/2023,18,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,30/01/2023,03/01/2023,19,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,31/01/2023,03/01/2023,20,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,01/02/2023,03/01/2023,21,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,02/02/2023,03/01/2023,22,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,03/02/2023,03/01/2023,23,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,04/02/2023,03/01/2023,23,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,05/02/2023,03/01/2023,23,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,06/02/2023,03/01/2023,24,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,07/02/2023,03/01/2023,25,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,08/02/2023,03/01/2023,26,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,09/02/2023,03/01/2023,27,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,10/02/2023,03/01/2023,28,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,11/02/2023,03/01/2023,28,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,12/02/2023,03/01/2023,28,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,13/02/2023,03/01/2023,29,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,14/02/2023,03/01/2023,30,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,15/02/2023,03/01/2023,31,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,16/02/2023,03/01/2023,32,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,17/02/2023,03/01/2023,33,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,18/02/2023,03/01/2023,33,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,19/02/2023,03/01/2023,33,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,20/02/2023,03/01/2023,34,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,21/02/2023,03/01/2023,35,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,22/02/2023,03/01/2023,36,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,23/02/2023,03/01/2023,37,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,24/02/2023,03/01/2023,38,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,25/02/2023,03/01/2023,38,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,26/02/2023,03/01/2023,38,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,27/02/2023,03/01/2023,39,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,28/02/2023,03/01/2023,40,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,01/03/2023,03/01/2023,41,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,02/03/2023,03/01/2023,42,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,03/03/2023,03/01/2023,43,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,04/03/2023,03/01/2023,43,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,05/03/2023,03/01/2023,43,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,06/03/2023,03/01/2023,44,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,07/03/2023,03/01/2023,45,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,08/03/2023,03/01/2023,46,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,09/03/2023,03/01/2023,47,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,10/03/2023,03/01/2023,48,25/05/2023,98,*Staircase repair*,Job Scheduled,,
8241903,11/03/2023,03/01/2023,48,25/05/2023,98,*Staircase repair*,Job Scheduled,,
